Vegitation,NDVI,NDWI1,CAI,EVI,GNDVI,SAVI,MSI,ARI,DWSI,CVI
"Dec 3, 2020",0.281,-0.259,0.801,0.213,0.259,0.171,1.036,1.77,1.05,2.333
"Dec 5, 2020",0.335,-0.307,0.79,0.262,0.307,0.201,1.082,2.026,1.069,2.682
"Dec 8, 2020",0.342,-0.316,0.8,0.262,0.316,0.208,0.939,2.231,1.061,2.809
"Dec 10, 2020",0.401,-0.401,0.84,0.266,0.401,0.247,1.004,3.507,1.007,3.963
"Dec 15, 2020",0.356,-0.317,0.788,0.35,0.317,0.247,0.777,1.14,1.095,2.223
"Dec 18, 2020",0.458,-0.428,0.773,0.319,0.428,0.268,0.869,3.629,1.085,3.763
"Dec 20, 2020",0.378,-0.399,0.791,0.285,0.399,0.252,0.919,2.598,0.955,3.282
"Dec 23, 2020",0.422,-0.409,0.782,0.305,0.409,0.258,0.898,3.221,1.037,3.533
"Dec 28, 2020",0.477,-0.451,0.766,0.323,0.451,0.287,0.766,3.383,1.071,3.727
"Jan 19, 2021",0.468,-0.433,0.766,0.367,0.433,0.295,0.807,2.523,1.103,3.229
"Jan 27, 2021",0.606,-0.565,0.79,0.399,0.565,0.355,0.7,5.532,1.164,5.334
"Feb 1, 2021",0.388,-0.43,0.798,0.232,0.43,0.235,0.957,4.301,0.907,4.436
"Feb 3, 2021",0.34,-0.301,0.832,0.356,0.301,0.234,0.811,0.975,1.091,2.191
"Feb 6, 2021",0.442,-0.456,0.803,0.285,0.456,0.257,0.873,4.64,0.977,4.513
"Feb 8, 2021",0.288,-0.341,0.859,0.191,0.341,0.179,1.026,2.874,0.891,3.082
"Feb 16, 2021",0.437,-0.44,0.833,0.267,0.44,0.246,0.863,4.054,0.999,3.993
"Feb 18, 2021",0.331,-0.395,0.845,0.201,0.395,0.198,1.069,3.789,0.87,3.938
"Feb 23, 2021",0.295,-0.347,0.89,0.2,0.347,0.184,0.961,2.393,0.893,3.023
"Feb 26, 2021",0.357,-0.389,0.843,0.209,0.389,0.203,1.033,4.139,0.939,4.038
"Feb 28, 2021",0.262,-0.347,0.873,0.178,0.347,0.17,0.997,2.657,0.83,3.054
"Mar 3, 2021",0.366,-0.407,0.819,0.219,0.407,0.218,0.952,3.964,0.915,3.995
"Mar 5, 2021",0.262,-0.339,0.88,0.172,0.339,0.166,1.042,2.892,0.848,3.235
